test_image,response,resptime,r/g/b, q, expected, category, size (in Bytes)
landscape-mountains-1,5,8.637476,b,16,True,bunt,1782109
boy,3,3.703756,r,16,True,ausgeglichen,1792184
parrot-1,3,5.401629,g,8,False,dominant,1409332
boy,1,1.241341,g,64,False,ausgeglichen,1697505
parrot-1,3,7.429613,b,8,False,dominant,1376723
buildings-1,3,2.725479,b,8,True,bunt,1620062
colorful-flowers,1,3.564456,r,32,True,bunt,1737132
colorful-flowers,2,2.952428,b,64,True,bunt,1607054
chameleon,2,4.361596,g,32,True,dominant,1563034
sunflower,4,10.405052,r,16,True,dominant,1620613
parrot-1,1,1.304965,r,32,True,dominant,1283118
sunflower,4,7.133295,r,8,True,dominant,1677477
buildings-1,1,1.336712,g,16,False,bunt,1586216
sunflower,5,4.460006,b,16,False,dominant,1577758
boy,4,10.270173,r,2,True,ausgeglichen,1970444
protrait-man,2,7.777752,g,8,False,ausgeglichen,1057146
boy,1,1.052136,g,32,False,ausgeglichen,1755699
women-portrait,1,0.973743,r,32,True,dominant,1432515
women-portrait-blue,3,6.262373,r,2,False,dominant,1596626
buildings-1,1,1.284292,g,32,False,bunt,1540870
women-portrait-blue,3,2.034732,g,2,False,dominant,1623040
colorful-flowers,4,22.645483,b,32,True,bunt,1650075
protrait-man,1,3.256508,r,32,False,ausgeglichen,955805
buildings-1,2,3.552613,b,16,True,bunt,1568876
boy,4,10.75492,g,16,False,ausgeglichen,1826677
colorful-flowers,3,2.092299,r,2,True,bunt,1976069
women-portrait,1,1.065536,r,64,True,dominant,1388210
boy,4,4.825334,b,8,True,ausgeglichen,1846232
chameleon,4,3.448638,g,2,True,dominant,1780385
buildings-1,2,5.236562,g,8,False,bunt,1639884
boy,1,1.107493,r,32,True,ausgeglichen,1724988
protrait-man,1,1.031237,b,64,False,ausgeglichen,917447
colorful-flowers,1,0.909334,r,64,True,bunt,1687900
chameleon,4,9.861036,b,64,False,dominant,1484135
buildings-1,4,16.573651,r,2,True,bunt,1730820
buildings-1,4,2.161222,b,2,True,bunt,1732860
women-portrait,4,8.493806,r,2,True,dominant,1668639
protrait-man,1,1.41893,g,32,False,ausgeglichen,988913
boy,1,0.975308,r,64,True,ausgeglichen,1665296
parrot-1,1,3.204768,r,64,True,dominant,1248183
landscape-mountains-1,1,3.165015,r,32,False,bunt,1697798
women-portrait-blue,1,2.605811,g,32,False,dominant,1430156
protrait-man,4,4.606972,g,2,False,ausgeglichen,1120786
women-portrait-blue,3,4.508761,r,8,False,dominant,1481163
protrait-man,2,1.532956,r,16,False,ausgeglichen,995100
women-portrait-blue,1,1.172646,r,64,False,dominant,1334286
landscape-mountains-1,5,10.06339,r,2,False,bunt,1959463
women-portrait-blue,4,12.210137,b,8,True,dominant,1517539
landscape-mountains-1,5,8.016693,g,2,True,bunt,1974709
landscape-mountains-1,5,3.149018,b,2,True,bunt,1966749
colorful-flowers,4,13.428577,g,2,True,bunt,1979529
sunflower,4,2.753971,g,8,True,dominant,1692156
women-portrait-blue,1,1.173171,g,64,False,dominant,1395146
buildings-1,1,0.871121,g,64,False,bunt,1504452
parrot-1,1,0.768335,g,64,False,dominant,1286005
women-portrait-blue,2,8.572656,g,8,False,dominant,1533223
