test_image,response,resptime,r/g/b, q, expected, category, size (in Bytes)
protrait-man,2,5.009186,b,64,False,ausgeglichen,917447
parrot-1,3,6.285693,g,8,False,dominant,1409332
women-portrait-blue,5,1.443061,b,16,True,dominant,1470592
women-portrait,5,1.167202,r,2,True,dominant,1668639
women-portrait,5,1.485159,g,2,False,dominant,1686824
women-portrait-blue,5,1.34284,r,8,False,dominant,1481163
colorful-flowers,5,5.135934,g,8,True,bunt,1865947
sunflower,4,17.815102,r,64,True,dominant,1521414
colorful-flowers,4,4.803504,r,8,True,bunt,1858237
boy,1,1.179886,g,64,False,ausgeglichen,1697505
women-portrait-blue,4,2.96438,b,32,True,dominant,1411735
women-portrait-blue,5,1.139748,r,2,False,dominant,1596626
colorful-flowers,4,2.387364,b,8,True,bunt,1773313
women-portrait-blue,4,2.609861,r,32,False,dominant,1376305
women-portrait,3,4.494069,b,32,False,dominant,1451947
chameleon,3,1.455423,b,16,False,dominant,1577943
colorful-flowers,2,1.447315,r,64,True,bunt,1687900
women-portrait-blue,4,2.872243,r,16,False,dominant,1430798
parrot-1,3,2.823805,b,64,False,dominant,1245966
landscape-mountains-1,3,16.259988,b,2,True,bunt,1966749
parrot-1,3,2.968816,r,8,True,dominant,1378776
chameleon,4,4.370825,r,8,False,dominant,1656610
boy,5,1.22766,g,2,False,ausgeglichen,1986269
sunflower,5,0.960071,r,32,True,dominant,1563355
women-portrait,5,1.867662,b,16,False,dominant,1512537
protrait-man,5,1.569792,b,8,False,ausgeglichen,1019660
landscape-mountains-1,3,2.295698,r,32,False,bunt,1697798
chameleon,1,2.29662,g,64,True,dominant,1517897
women-portrait-blue,5,2.164083,g,2,False,dominant,1623040
chameleon,4,1.304362,b,64,False,dominant,1484135
chameleon,5,2.051199,r,2,False,dominant,1774469
buildings-1,1,1.520714,g,8,False,bunt,1639884
parrot-1,2,1.218152,r,16,True,dominant,1328697
landscape-mountains-1,2,1.911146,r,64,False,bunt,1645847
sunflower,4,2.712726,b,64,False,dominant,1481298
parrot-1,3,1.764807,g,2,False,dominant,1487599
landscape-mountains-1,4,7.191993,r,16,False,bunt,1760551
protrait-man,1,0.990191,g,32,False,ausgeglichen,988913
boy,2,1.227879,b,64,True,ausgeglichen,1667838
sunflower,4,2.57523,b,2,False,dominant,1782336
protrait-man,4,2.431142,r,8,False,ausgeglichen,1027811
chameleon,3,2.254793,r,32,False,dominant,1549741
colorful-flowers,3,1.803792,b,16,True,bunt,1701535
parrot-1,2,1.257876,b,16,False,dominant,1326265
women-portrait,5,1.873169,g,8,False,dominant,1593928
colorful-flowers,3,2.426857,b,64,True,bunt,1607054
buildings-1,2,0.996814,b,32,True,bunt,1512992
sunflower,3,0.939428,r,2,True,dominant,1794731
parrot-1,4,1453.02927,b,32,False,dominant,1279196
women-portrait-blue,4,5.296779,b,2,True,dominant,1622899
landscape-mountains-1,3,6.418622,g,2,True,bunt,1974709
landscape-mountains-1,3,1.248494,b,32,True,bunt,1719559
parrot-1,3,3.183568,b,8,False,dominant,1376723
parrot-1,3,0.499928,b,2,False,dominant,1474967
buildings-1,5,3.694628,b,16,True,bunt,1568876
landscape-mountains-1,4,3.916868,r,8,False,bunt,1825728
protrait-man,2,1.508281,r,32,False,ausgeglichen,955805
buildings-1,3,3.601777,r,8,True,bunt,1613539
buildings-1,1,1.662388,g,64,False,bunt,1504452
parrot-1,2,6.268227,r,2,True,dominant,1476590
women-portrait,5,4.714141,r,16,True,dominant,1489510
sunflower,5,1.163663,b,8,False,dominant,1642842
protrait-man,5,2.874782,r,2,False,ausgeglichen,1102650
boy,5,1.036318,b,16,True,ausgeglichen,1788808
sunflower,5,4.864764,g,8,True,dominant,1692156
protrait-man,5,2.316326,g,2,False,ausgeglichen,1120786
women-portrait-blue,1,1.927445,g,64,False,dominant,1395146
colorful-flowers,4,3.099239,r,2,True,bunt,1976069
sunflower,4,5.454533,g,16,True,dominant,1630932
women-portrait,2,2.975063,b,64,False,dominant,1405429
chameleon,3,3.145099,g,16,True,dominant,1620124
boy,5,4.379252,r,16,True,ausgeglichen,1792184
boy,5,1.092984,b,2,True,ausgeglichen,1967649
colorful-flowers,4,5.167043,r,16,True,bunt,1798205
chameleon,4,1.899284,r,64,False,dominant,1501954
women-portrait,4,1.742773,g,16,False,dominant,1536851
women-portrait,1,2.327548,g,32,False,dominant,1478226
colorful-flowers,1,1.418251,g,64,True,bunt,1698274
parrot-1,2,1.210196,g,16,False,dominant,1361433
parrot-1,1,2.037647,r,64,True,dominant,1248183
chameleon,3,4.282851,r,16,False,dominant,1602827
protrait-man,3,2.560373,b,32,False,ausgeglichen,947520
women-portrait,4,2.934582,b,2,False,dominant,1673259
buildings-1,1,9.067636,g,32,False,bunt,1540870
women-portrait-blue,3,3.135296,g,16,False,dominant,1494707
boy,2,24.87038,b,32,True,ausgeglichen,1724880
sunflower,5,1.498274,b,2,False,dominant,1782336
chameleon,5,0.960788,b,16,False,dominant,1577943
colorful-flowers,1,2.407428,g,32,True,bunt,1745745
parrot-1,3,2.57633,r,8,True,dominant,1378776
colorful-flowers,4,82.537739,r,2,True,bunt,1976069
boy,5,3.14231,r,8,True,ausgeglichen,1854167
women-portrait-blue,5,1.95024,b,16,True,dominant,1470592
colorful-flowers,1,1.615084,g,64,True,bunt,1698274
chameleon,5,35.025682,b,8,False,dominant,1636571
protrait-man,2,6.384555,b,16,False,ausgeglichen,983930
protrait-man,2,2.097712,g,32,False,ausgeglichen,988913
landscape-mountains-1,5,1.584624,r,16,False,bunt,1760551
boy,5,1.896207,b,16,True,ausgeglichen,1788808
colorful-flowers,2,2.376672,b,64,True,bunt,1607054
colorful-flowers,5,3.577567,b,2,True,bunt,1948480
women-portrait-blue,5,1.636865,b,8,True,dominant,1517539
parrot-1,1,1.752671,r,64,True,dominant,1248183
buildings-1,3,3.001404,r,32,True,bunt,1501470
sunflower,5,1.284258,r,16,True,dominant,1620613
women-portrait,5,15.638934,r,2,True,dominant,1668639
parrot-1,4,3.013252,g,2,False,dominant,1487599
chameleon,5,0.980157,g,16,True,dominant,1620124
women-portrait-blue,1,1.882081,r,64,False,dominant,1334286
landscape-mountains-1,5,2.830182,b,8,True,bunt,1848711
women-portrait,1,1.077206,g,32,False,dominant,1478226
women-portrait-blue,2,1.535729,b,64,True,dominant,1379057
protrait-man,1,1.102193,r,32,False,ausgeglichen,955805
landscape-mountains-1,5,1.587294,g,2,True,bunt,1974709
boy,2,2.532424,g,16,False,ausgeglichen,1826677
chameleon,2,3.713909,g,32,True,dominant,1563034
sunflower,2,1.303022,g,32,True,dominant,1575103
colorful-flowers,4,2.40319,g,8,True,bunt,1865947
parrot-1,2,1.676935,g,32,False,dominant,1316312
chameleon,5,3.360231,r,2,False,dominant,1774469
sunflower,4,41.542149,b,64,False,dominant,1481298
parrot-1,1,1.730403,g,64,False,dominant,1286005
women-portrait-blue,3,5.191867,b,32,True,dominant,1411735
protrait-man,1,3.027187,b,32,False,ausgeglichen,947520
buildings-1,4,3.960218,b,64,True,bunt,1464487
colorful-flowers,2,2.649012,r,32,True,bunt,1737132
protrait-man,1,1.57882,b,64,False,ausgeglichen,917447
women-portrait-blue,2,13.467842,g,16,False,dominant,1494707
women-portrait-blue,5,1.475138,b,2,True,dominant,1622899
chameleon,5,1.027549,b,32,False,dominant,1526202
boy,5,0.873062,r,2,True,ausgeglichen,1970444
protrait-man,5,1.234572,r,2,False,ausgeglichen,1102650
parrot-1,5,1.888857,b,32,False,dominant,1279196
colorful-flowers,5,0.93138,b,32,True,bunt,1650075
sunflower,5,4.567544,r,2,True,dominant,1794731
women-portrait,3,2.345398,b,64,False,dominant,1405429
boy,5,11.60103,r,16,True,ausgeglichen,1792184
buildings-1,5,0.923953,g,8,False,bunt,1639884
sunflower,5,3.49484,g,8,True,dominant,1692156
parrot-1,5,2.41031,g,8,False,dominant,1409332
landscape-mountains-1,1,2.126728,g,64,True,bunt,1693941
parrot-1,5,10.871489,b,8,False,dominant,1376723
protrait-man,5,1.637125,r,8,False,ausgeglichen,1027811
women-portrait-blue,5,3.416329,r,8,False,dominant,1481163
women-portrait-blue,5,3.04853,r,2,False,dominant,1596626
colorful-flowers,5,1.223068,g,16,True,bunt,1806067
women-portrait,1,44.91556,g,64,False,dominant,1434450
women-portrait-blue,1,287.437302,g,32,False,dominant,1430156
landscape-mountains-1,2,3.2525,b,32,True,bunt,1719559
women-portrait-blue,5,6.160962,g,2,False,dominant,1623040
boy,5,6.165336,g,8,False,ausgeglichen,1885348
chameleon,5,2.850486,b,2,False,dominant,1770933
women-portrait,3,3.974311,b,32,False,dominant,1451947
chameleon,1,2.805984,g,64,True,dominant,1517897
protrait-man,1,0.946828,g,64,False,ausgeglichen,954435
colorful-flowers,5,3.881999,r,16,True,bunt,1798205
buildings-1,4,4.42039,r,16,True,bunt,1554914
landscape-mountains-1,4,3.130946,b,16,True,bunt,1782109
colorful-flowers,5,3.600986,g,2,True,bunt,1979529
buildings-1,1,4.554234,g,16,False,bunt,1586216
landscape-mountains-1,1,1.235769,b,64,True,bunt,1666004
boy,5,3.288649,b,8,True,ausgeglichen,1846232
buildings-1,4,4.321189,b,2,True,bunt,1732860
protrait-man,5,5.897737,b,2,False,ausgeglichen,1098420
protrait-man,5,1.732172,b,8,False,ausgeglichen,1019660
buildings-1,4,1.577012,b,8,True,bunt,1620062
parrot-1,1,5.290898,r,32,True,dominant,1283118
sunflower,4,3.146096,g,16,True,dominant,1630932
buildings-1,1,1.271597,g,32,False,bunt,1540870
landscape-mountains-1,5,2.414517,r,2,False,bunt,1959463
women-portrait,5,3.667124,b,8,False,dominant,1566554
women-portrait,5,1.82381,g,2,False,dominant,1686824
sunflower,5,2.898019,b,16,False,dominant,1577758
colorful-flowers,5,2.987682,r,8,True,bunt,1858237
colorful-flowers,5,0.831415,b,8,True,bunt,1773313
sunflower,5,3.596687,b,32,False,dominant,1519261
colorful-flowers,1,3.416095,r,64,True,bunt,1687900
boy,5,2.611257,b,2,True,ausgeglichen,1967649
parrot-1,4,7.331498,r,2,True,dominant,1476590
sunflower,5,1.775718,g,2,True,dominant,1799423
sunflower,3,2.40629,r,64,True,dominant,1521414
women-portrait,3,1.497233,r,16,True,dominant,1489510
buildings-1,4,3.813294,g,2,False,bunt,1742597
chameleon,5,3.53263,g,2,True,dominant,1780385
buildings-1,2,1.707173,r,64,True,bunt,1462046
women-portrait,5,2.609784,r,8,True,dominant,1548721
boy,1,1.666644,g,32,False,ausgeglichen,1755699
chameleon,5,2.407083,r,16,False,dominant,1602827
protrait-man,1,6.180692,g,16,False,ausgeglichen,1021255
landscape-mountains-1,5,2.835147,r,8,False,bunt,1825728
landscape-mountains-1,5,2.739746,b,2,True,bunt,1966749
buildings-1,5,8.50677,r,2,True,bunt,1730820
parrot-1,4,4.424219,b,16,False,dominant,1326265
landscape-mountains-1,1,1.695774,g,32,True,bunt,1743767
chameleon,4,4.843134,r,32,False,dominant,1549741
boy,1,1.586846,b,64,True,ausgeglichen,1667838
colorful-flowers,5,3.934625,b,16,True,bunt,1701535
buildings-1,2,4.30381,b,32,True,bunt,1512992
buildings-1,1,0.883888,g,64,False,bunt,1504452
parrot-1,4,9.146405,b,2,False,dominant,1474967
protrait-man,1,1.787667,r,64,False,ausgeglichen,929575
chameleon,2,5.078755,r,64,False,dominant,1501954
parrot-1,2,2.97462,b,64,False,dominant,1245966
sunflower,4,3.079808,r,32,True,dominant,1563355
chameleon,5,2.143557,r,8,False,dominant,1656610
boy,1,3.358557,r,32,True,ausgeglichen,1724988
sunflower,1,2.046574,g,64,True,dominant,1524907
sunflower,5,2.477383,r,8,True,dominant,1677477
women-portrait,1,2.197466,r,64,True,dominant,1388210
women-portrait,5,2.196444,g,8,False,dominant,1593928
women-portrait,5,3.169871,b,2,False,dominant,1673259
chameleon,5,1.961359,g,8,True,dominant,1674493
women-portrait,1,2.507265,r,32,True,dominant,1432515
landscape-mountains-1,2,3.653059,r,32,False,bunt,1697798
protrait-man,2,5.292176,r,16,False,ausgeglichen,995100
buildings-1,5,4.219555,r,8,True,bunt,1613539
women-portrait-blue,3,4.116667,r,16,False,dominant,1430798
parrot-1,3,2.8294,g,16,False,dominant,1361433
landscape-mountains-1,5,4.075234,g,8,True,bunt,1867469
landscape-mountains-1,4,2.145663,r,64,False,bunt,1645847
landscape-mountains-1,3,1.697307,g,16,True,bunt,1802081
women-portrait-blue,1,2.201205,g,64,False,dominant,1395146
women-portrait,5,1.53976,b,16,False,dominant,1512537
boy,1,0.999456,g,64,False,ausgeglichen,1697505
boy,4,3.179143,g,2,False,ausgeglichen,1986269
sunflower,5,1.759799,b,8,False,dominant,1642842
protrait-man,3,4.104357,g,8,False,ausgeglichen,1057146
women-portrait,3,2.88837,g,16,False,dominant,1536851
parrot-1,4,2.900653,r,16,True,dominant,1328697
buildings-1,4,1.996133,b,16,True,bunt,1568876
women-portrait-blue,2,2.290469,g,8,False,dominant,1533223
chameleon,3,5.569319,b,64,False,dominant,1484135
protrait-man,5,197.111776,g,2,False,ausgeglichen,1120786
boy,1,1.344044,r,64,True,ausgeglichen,1665296
women-portrait-blue,2,2.093451,r,32,False,dominant,1376305
boy,5,,n,0,False,ausgeglichen,3613333
buildings-1,3,,n,0,False,bunt,3614372
chameleon,5,,n,0,False,dominant,3612735
colorful-flowers,4,,n,0,False,bunt,3615135
landscape-mountains-1,4,,n,0,False,bunt,3612553
parrot-1,5,,n,0,False,dominant,3613869
protrait-man,4,,n,0,False,ausgeglichen,3611150
sunflower,5,,n,0,False,dominant,3615358
women-portrait,5,,n,0,False,dominant,3612827
women-portrait-blue,5,,n,0,False,dominant,3611479
buildings-1,3,19.18396,r,32,True,bunt,1501470
women-portrait-blue,5,4.08024,r,8,False,dominant,1481163
protrait-man,3,8.896451,b,32,False,ausgeglichen,947520
buildings-1,5,10.646937,b,8,True,bunt,1620062
sunflower,5,2.213972,g,2,True,dominant,1799423
boy,5,2.68457,r,2,True,ausgeglichen,1970444
parrot-1,5,5.551435,g,2,False,dominant,1487599
sunflower,1,3.925891,g,64,True,dominant,1524907
women-portrait,3,12.440486,b,64,False,dominant,1405429
women-portrait-blue,4,2.9451,g,16,False,dominant,1494707
chameleon,5,3.854832,b,16,False,dominant,1577943
sunflower,3,1.728017,b,64,False,dominant,1481298
chameleon,4,10.181546,g,2,True,dominant,1780385
parrot-1,3,4.031647,r,32,True,dominant,1283118
women-portrait-blue,2,2.069414,r,64,False,dominant,1334286
buildings-1,3,9.352876,r,2,True,bunt,1730820
boy,2,6.825283,r,64,True,ausgeglichen,1665296
sunflower,3,2.551989,b,2,False,dominant,1782336
colorful-flowers,3,7.961656,r,64,True,bunt,1687900
landscape-mountains-1,4,6.715187,r,32,False,bunt,1697798
chameleon,4,14.936643,r,2,False,dominant,1774469
landscape-mountains-1,3,2.787114,g,16,True,bunt,1802081
protrait-man,2,33.080749,g,16,False,ausgeglichen,1021255
landscape-mountains-1,5,5.090064,b,2,True,bunt,1966749
sunflower,3,10.428349,n,0,False,dominant,3615358
women-portrait-blue,4,3.331754,r,32,False,dominant,1376305
parrot-1,5,7.777166,b,8,False,dominant,1376723
landscape-mountains-1,4,4.675068,b,32,True,bunt,1719559
women-portrait,5,5.477821,b,2,False,dominant,1673259
women-portrait-blue,3,1.965479,g,32,False,dominant,1430156
women-portrait-blue,5,2.683138,b,8,True,dominant,1517539
boy,4,3.590931,g,16,False,ausgeglichen,1826677
colorful-flowers,5,16.022058,r,2,True,bunt,1976069
colorful-flowers,4,2.139666,b,16,True,bunt,1701535
landscape-mountains-1,5,15.888501,n,0,False,bunt,3612553
protrait-man,5,4.238677,r,2,False,ausgeglichen,1102650
parrot-1,1,3.4092,r,64,True,dominant,1248183
sunflower,3,3.721889,r,64,True,dominant,1521414
women-portrait-blue,3,11.733286,b,64,True,dominant,1379057
landscape-mountains-1,3,4.134559,r,16,False,bunt,1760551
buildings-1,4,5.008793,g,2,False,bunt,1742597
boy,3,3.909558,b,64,True,ausgeglichen,1667838
women-portrait,5,8.705904,g,2,False,dominant,1686824
women-portrait,5,0.979972,r,2,True,dominant,1668639
protrait-man,4,12.874529,g,8,False,ausgeglichen,1057146
parrot-1,3,3.334774,g,16,False,dominant,1361433
protrait-man,1,1.602408,b,64,False,ausgeglichen,917447
colorful-flowers,4,12.253605,b,8,True,bunt,1773313
boy,5,5.770489,b,32,True,ausgeglichen,1724880
women-portrait,4,5.268926,r,16,True,dominant,1489510
parrot-1,4,16.382729,b,16,False,dominant,1326265
landscape-mountains-1,5,7.396479,b,8,True,bunt,1848711
boy,4,8.866543,g,2,False,ausgeglichen,1986269
colorful-flowers,5,4.470767,b,32,True,bunt,1650075
sunflower,4,5.629198,g,8,True,dominant,1692156
boy,1,1.292047,g,32,False,ausgeglichen,1755699
chameleon,5,11.141463,r,8,False,dominant,1656610
parrot-1,5,24.332969,r,8,True,dominant,1378776
women-portrait-blue,1,1.18704,g,64,False,dominant,1395146
sunflower,3,2.974366,g,16,True,dominant,1630932
women-portrait-blue,4,4.518553,g,8,False,dominant,1533223
landscape-mountains-1,5,6.746111,g,2,True,bunt,1974709
boy,1,1.320377,g,64,False,ausgeglichen,1697505
parrot-1,3,13.752678,g,8,False,dominant,1409332
protrait-man,4,10.598945,r,8,False,ausgeglichen,1027811
buildings-1,4,10.163759,b,64,True,bunt,1464487
colorful-flowers,5,6.666715,b,2,True,bunt,1948480
colorful-flowers,5,1.535218,n,0,False,bunt,3615135
parrot-1,4,6.631357,n,0,False,dominant,3613869
protrait-man,3,3.62032,b,16,False,ausgeglichen,983930
protrait-man,2,1.700637,r,32,False,ausgeglichen,955805
boy,4,8.30813,n,0,False,ausgeglichen,3613333
boy,4,0.697656,b,2,True,ausgeglichen,1967649
buildings-1,3,4.133098,b,32,True,bunt,1512992
buildings-1,3,1.650361,g,8,False,bunt,1639884
women-portrait,5,22.85197,r,8,True,dominant,1548721
chameleon,3,5.556212,r,64,False,dominant,1501954
landscape-mountains-1,2,4.002923,b,64,True,bunt,1666004
women-portrait,5,11.59778,n,0,False,dominant,3612827
boy,4,5.946163,r,16,True,ausgeglichen,1792184
sunflower,1,9.823025,g,32,True,dominant,1575103
chameleon,4,9.845758,b,2,False,dominant,1770933
protrait-man,5,12.981145,n,0,False,ausgeglichen,3611150
women-portrait-blue,4,4.495422,g,2,False,dominant,1623040
buildings-1,4,7.745467,n,0,False,bunt,3614372
sunflower,5,7.525487,b,16,False,dominant,1577758
parrot-1,1,1.236921,g,64,False,dominant,1286005
chameleon,1,1.469615,g,64,True,dominant,1517897
protrait-man,4,2.064741,g,2,False,ausgeglichen,1120786
colorful-flowers,3,2.665761,g,16,True,bunt,1806067
buildings-1,4,7.984061,r,16,True,bunt,1554914
buildings-1,1,1.417225,g,64,False,bunt,1504452
sunflower,3,7.887936,r,32,True,dominant,1563355
women-portrait-blue,4,5.609909,b,16,True,dominant,1470592
women-portrait,3,3.571968,r,32,True,dominant,1432515
landscape-mountains-1,4,14.299562,b,16,True,bunt,1782109
chameleon,3,7.81362,r,32,False,dominant,1549741
women-portrait,2,3.746226,g,32,False,dominant,1478226
landscape-mountains-1,3,4.00702,g,8,True,bunt,1867469
colorful-flowers,1,1.235349,g,64,True,bunt,1698274
boy,4,3.645,r,8,True,ausgeglichen,1854167
sunflower,4,6.613744,r,2,True,dominant,1794731
buildings-1,2,10.238576,g,16,False,bunt,1586216
protrait-man,3,4.447395,r,16,False,ausgeglichen,995100
landscape-mountains-1,2,3.537342,r,8,False,bunt,1825728
parrot-1,2,2.893811,b,64,False,dominant,1245966
chameleon,4,7.883033,b,8,False,dominant,1636571
women-portrait,3,8.74543,b,32,False,dominant,1451947
protrait-man,1,1.314984,g,64,False,ausgeglichen,954435
women-portrait,3,8.326052,g,16,False,dominant,1536851
chameleon,4,11.269415,r,16,False,dominant,1602827
boy,3,3.726732,r,32,True,ausgeglichen,1724988
protrait-man,4,13.70327,b,2,False,ausgeglichen,1098420
protrait-man,1,2.297531,g,32,False,ausgeglichen,988913
boy,4,2.430619,b,8,True,ausgeglichen,1846232
women-portrait-blue,5,1.683736,b,32,True,dominant,1411735
landscape-mountains-1,1,1.39402,g,64,True,bunt,1693941
parrot-1,2,2.632342,g,32,False,dominant,1316312
women-portrait-blue,5,7.990795,r,2,False,dominant,1596626
buildings-1,3,5.199446,r,8,True,bunt,1613539
chameleon,5,14.248526,b,32,False,dominant,1526202
chameleon,3,3.747836,g,16,True,dominant,1620124
buildings-1,1,3.845573,g,32,False,bunt,1540870
landscape-mountains-1,1,2.199207,r,64,False,bunt,1645847
women-portrait-blue,3,3.483504,n,0,False,dominant,3611479
sunflower,5,5.761054,r,8,True,dominant,1677477
boy,4,14.300875,b,16,True,ausgeglichen,1788808
parrot-1,3,5.168246,b,32,False,dominant,1279196
colorful-flowers,4,13.017579,r,8,True,bunt,1858237
sunflower,5,3.538312,r,16,True,dominant,1620613
colorful-flowers,3,2.690024,b,64,True,bunt,1607054
chameleon,5,4.339203,g,8,True,dominant,1674493
colorful-flowers,4,8.579539,g,8,True,bunt,1865947
chameleon,5,7.615566,n,0,False,dominant,3612735
protrait-man,4,2.684886,b,8,False,ausgeglichen,1019660
women-portrait-blue,4,6.873543,b,2,True,dominant,1622899
boy,5,8.943782,g,8,False,ausgeglichen,1885348
colorful-flowers,3,2.140648,r,32,True,bunt,1737132
women-portrait,1,0.92588,g,64,False,dominant,1434450
colorful-flowers,5,9.484364,g,2,True,bunt,1979529
parrot-1,5,10.810426,r,16,True,dominant,1328697
sunflower,5,14.532946,b,32,False,dominant,1519261
buildings-1,4,2.99571,b,16,True,bunt,1568876
parrot-1,5,10.931171,b,2,False,dominant,1474967
women-portrait,3,3.123755,g,8,False,dominant,1593928
chameleon,2,2.169182,g,32,True,dominant,1563034
landscape-mountains-1,5,12.587572,r,2,False,bunt,1959463
chameleon,3,9.901058,b,64,False,dominant,1484135
protrait-man,2,3.567272,r,64,False,ausgeglichen,929575
buildings-1,1,8.503144,r,64,True,bunt,1462046
women-portrait-blue,3,4.783966,r,16,False,dominant,1430798
parrot-1,5,18.628625,r,2,True,dominant,1476590
buildings-1,4,2.604825,b,2,True,bunt,1732860
colorful-flowers,2,2.583423,g,32,True,bunt,1745745
women-portrait,4,2.943981,b,16,False,dominant,1512537
women-portrait,2,2.045171,r,64,True,dominant,1388210
landscape-mountains-1,1,4.25969,g,32,True,bunt,1743767
women-portrait,4,5.990543,b,8,False,dominant,1566554
sunflower,5,9.224443,b,8,False,dominant,1642842
colorful-flowers,4,3.279599,r,16,True,bunt,1798205
sunflower,4,6.591253,n,0,False,dominant,3615358
landscape-mountains-1,5,2.954028,n,0,False,bunt,3612553
protrait-man,3,2.712603,n,0,False,ausgeglichen,3611150
boy,4,1.926509,n,0,False,ausgeglichen,3613333
parrot-1,4,2.169328,n,0,False,dominant,3613869
colorful-flowers,5,1.957517,n,0,False,bunt,3615135
chameleon,5,1.181499,n,0,False,dominant,3612735
women-portrait-blue,5,1.67857,n,0,False,dominant,3611479
women-portrait,5,1.098211,n,0,False,dominant,3612827
buildings-1,4,2.823907,n,0,False,bunt,3614372
women-portrait,2,5.146659,r,64,True,dominant,1388210
sunflower,5,4.556869,r,2,True,dominant,1794731
buildings-1,2,8.087679,g,32,False,bunt,1540870
landscape-mountains-1,5,18.903672,b,16,True,bunt,1782109
landscape-mountains-1,3,5.953737,r,64,False,bunt,1645847
chameleon,4,4.421482,b,32,False,dominant,1526202
parrot-1,5,6.076864,g,2,False,dominant,1487599
landscape-mountains-1,4,10.69151,g,8,True,bunt,1867469
protrait-man,4,7.620864,b,8,False,ausgeglichen,1019660
sunflower,5,5.969909,r,8,True,dominant,1677477
chameleon,3,3.259703,r,64,False,dominant,1501954
parrot-1,4,11.512086,b,8,False,dominant,1376723
women-portrait,4,1.960844,g,16,False,dominant,1536851
sunflower,4,15.499651,b,2,False,dominant,1782336
colorful-flowers,3,3.104019,g,32,True,bunt,1745745
boy,3,4.830606,r,32,True,ausgeglichen,1724988
boy,4,2.928626,b,16,True,ausgeglichen,1788808
boy,5,0.877836,g,2,False,ausgeglichen,1986269
women-portrait,5,2.910369,b,16,False,dominant,1512537
colorful-flowers,2,1.700572,g,64,True,bunt,1698274
landscape-mountains-1,1,1.511663,g,32,True,bunt,1743767
chameleon,3,4.623783,g,8,True,dominant,1674493
boy,2,1.543244,b,64,True,ausgeglichen,1667838
buildings-1,4,3.60816,g,8,False,bunt,1639884
colorful-flowers,4,2.762396,r,2,True,bunt,1976069
parrot-1,2,1.963077,r,64,True,dominant,1248183
chameleon,3,5.004792,r,2,False,dominant,1774469
boy,5,1.77883,r,8,True,ausgeglichen,1854167
boy,5,1.313096,b,2,True,ausgeglichen,1967649
buildings-1,4,3.714516,b,16,True,bunt,1568876
chameleon,4,9.261559,r,16,False,dominant,1602827
colorful-flowers,3,8.18106,b,64,True,bunt,1607054
women-portrait,3,2.77881,b,64,False,dominant,1405429
women-portrait-blue,1,1.622637,g,64,False,dominant,1395146
protrait-man,2,1.56947,b,32,False,ausgeglichen,947520
chameleon,3,2.058722,g,16,True,dominant,1620124
buildings-1,3,2.440131,g,16,False,bunt,1586216
protrait-man,1,1.381946,r,64,False,ausgeglichen,929575
buildings-1,4,10.043228,r,16,True,bunt,1554914
boy,4,2.24076,r,2,True,ausgeglichen,1970444
parrot-1,5,2.373613,b,32,False,dominant,1279196
women-portrait-blue,4,5.787852,g,8,False,dominant,1533223
parrot-1,4,4.089707,g,16,False,dominant,1361433
women-portrait,5,6.53998,b,2,False,dominant,1673259
sunflower,5,2.216112,b,64,False,dominant,1481298
landscape-mountains-1,5,2.049082,r,16,False,bunt,1760551
colorful-flowers,5,1.776193,g,2,True,bunt,1979529
women-portrait-blue,4,6.820648,b,8,True,dominant,1517539
colorful-flowers,5,2.59002,b,2,True,bunt,1948480
landscape-mountains-1,5,3.791957,r,8,False,bunt,1825728
sunflower,5,1.775688,r,16,True,dominant,1620613
women-portrait,4,1.947806,r,16,True,dominant,1489510
sunflower,1,1.54164,g,64,True,dominant,1524907
boy,2,1.507822,b,8,True,ausgeglichen,1846232
buildings-1,3,2.829501,r,64,True,bunt,1462046
women-portrait,3,2.675976,r,8,True,dominant,1548721
parrot-1,1,1.25882,g,64,False,dominant,1286005
colorful-flowers,2,1.480087,r,64,True,bunt,1687900
parrot-1,2,1.560702,r,32,True,dominant,1283118
women-portrait-blue,3,1.70316,g,16,False,dominant,1494707
parrot-1,3,1.613541,b,64,False,dominant,1245966
landscape-mountains-1,4,5.759481,b,8,True,bunt,1848711
parrot-1,4,1.76863,g,8,False,dominant,1409332
parrot-1,2,2.937598,g,32,False,dominant,1316312
buildings-1,3,3.984958,g,2,False,bunt,1742597
landscape-mountains-1,1,2.524856,b,64,True,bunt,1666004
chameleon,2,2.324211,b,2,False,dominant,1770933
women-portrait-blue,3,6.138719,r,64,False,dominant,1334286
colorful-flowers,4,3.683917,b,32,True,bunt,1650075
landscape-mountains-1,5,7.240305,g,2,True,bunt,1974709
women-portrait-blue,2,4.02487,b,64,True,dominant,1379057
chameleon,2,2.425184,b,64,False,dominant,1484135
sunflower,2,2.915911,g,32,True,dominant,1575103
chameleon,1,0.970604,g,64,True,dominant,1517897
women-portrait,1,0.882315,g,64,False,dominant,1434450
boy,4,1.901955,g,8,False,ausgeglichen,1885348
women-portrait-blue,4,2.233196,b,16,True,dominant,1470592
women-portrait-blue,4,1.659882,r,32,False,dominant,1376305
buildings-1,3,1.360462,r,32,True,bunt,1501470
sunflower,4,4.878564,r,64,True,dominant,1521414
boy,4,1.607315,g,16,False,ausgeglichen,1826677
buildings-1,4,2.97035,b,32,True,bunt,1512992
women-portrait,4,1.607522,g,8,False,dominant,1593928
